M of AlH__27Al-1H__AlHambra,I,v,S,A,gm_a,gm_s,E_f,n_a,dt_a,V_i,V_f,Q_i,Q_f,Ierr,Iref,*,g_i,g_f
50,1,11.529100000000653,5.7017330029911105e-31,0.00010082,,,4708.808865999999,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,            1 e,            0 e,0.0004752946454568997,,,36,12
50,1,11.865315999999893,5.652813698704096e-28,6.5365e-05,,,3194.21355,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,            1 e,            0 e,0.0003754583865090777,,,36,12
50,1,12.240991000000122,6.054205480631024e-25,3.5205e-05,,,1625.061501,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,            1 e,            0 e,0.0006028805851907988,,,36,12
50,1,12.591906,5.794001478941898e-22,1.2873e-05,,,0.0,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,            1 e,            0 e,0.0002913365751154496,,,36,12
50,1,23.02490299999954,4.2092222444691135e-30,0.00096961,,,4720.337966,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,            2 e,            1 e,0.0004439515739357166,,,60,36
50,1,23.746204000000034,4.157130559594193e-27,0.00062914,,,3206.078866,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,            2 e,            1 e,0.00012876334882255897,,,60,36
50,1,24.449262999999974,4.455812746874346e-24,0.00033932,,,1637.302492,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,            2 e,            1 e,0.00021232286735064595,,,60,36
50,1,25.199447999999997,4.2592435797729374e-21,0.0001245,,,12.591906,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,            2 e,            1 e,0.00030634131291747124,,,60,36
50,1,35.5785820000001,1.2223263800775466e-26,0.0022852,,,3229.82507,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,            3 e,            2 e,0.00040311288741492747,,,84,60
50,1,36.67328499999985,1.3061979934566052e-23,0.0012355,,,1661.751755,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,            3 e,            2 e,0.00020554804791094464,,,84,60
50,1,37.756535,1.2514939182039887e-20,0.00045588,,,37.791354,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,            3 e,            2 e,0.00021523243250030886,,,84,60
50,1,44.62717599999996,2.877909800399064e-32,0.011963,,,6237.191652,,,   X1Sigma+ 4 0,   X1Sigma+ 4 0,            4 e,            3 e,0.0006670659637547099,,,108,84
50,1,47.41791299999977,2.3863531735202696e-26,0.0056527999999999995,,,3265.403652,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,            4 e,            3 e,0.00043782302360657096,,,108,84
50,1,48.83845800000017,2.5451574021467212e-23,0.0030664,,,1698.4250399999999,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,            4 e,            3 e,0.00020175727991822253,,,108,84
50,1,50.320432,2.44124733754627e-20,0.0011405999999999999,,,75.547889,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,            4 e,            3 e,0.00017976929659983652,,,108,84
50,1,55.70187699999951,4.434016123827498e-32,0.023994,,,6281.818828,,,   X1Sigma+ 4 0,   X1Sigma+ 4 0,            5 e,            4 e,0.0005897669031066427,,,132,108
50,1,57.447071999999935,3.722876157333852e-29,0.017445,,,4823.891652,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,            5 e,            4 e,0.00034082546853191596,,,132,108
50,1,59.19002899999987,3.6356639327819547e-26,0.011382999999999999,,,3312.8215649999997,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,            5 e,            4 e,0.0002969865316811522,,,132,108
50,1,61.00150899999994,3.861856499738352e-23,0.006201600000000001,,,1747.263498,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,            5 e,            4 e,0.0002102974084481309,,,132,108
50,1,62.81666699999998,3.7144795453846056e-20,0.0023303,,,125.868321,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,            5 e,            4 e,0.00017884630272946655,,,132,108
50,1,68.82597900000019,4.7804348591395406e-29,0.030822000000000002,,,4881.338724,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,            6 e,            5 e,0.00016928378540191025,,,156,132
50,1,70.95334300000013,4.63626845366209e-26,0.020171,,,3372.0115939999996,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,            6 e,            5 e,0.0002406657433038612,,,156,132
50,1,73.09004199999981,4.906012430694734e-23,0.011047,,,1808.265007,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,            6 e,            5 e,0.00011627553482998907,,,156,132
50,1,80.18977199999972,5.343977246607557e-29,0.049893,,,4950.164703,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,            7 e,            6 e,0.0007961312705829361,,,180,156
