M of C2H2__12C2-1H2__aCeTY,I,v,S,A,gm_a,gm_s,E_f,n_a,dt_a,V_i,V_f,Q_i,Q_f,Ierr,Iref,*,g_i,g_f
26,1,10.29641600000059,9.47502412986003e-37,1.0879000000000002e-11,,,4051.649572,,, 2 0 0 0 0 0 0A1g, 0 1 0 0 0 0 1E1u,  10A1g  0A1g,  11A1u  1E1g,0.0003605551275463989,,,21,23
26,1,19.349552000000585,3.011056535616324e-37,1.3350999999999999e-09,,,5368.795869,,, 1 1 0 0 0 0 0A2u, 0 1 0 0 2 1 0E1g,  10A2u  0A1g,  11A2g  1E1g,0.000848528137423857,,,63,69
26,1,26.222544000000653,2.346821528538002e-34,6.5981e-09,,,4035.7234439999997,,, 2 0 0 0 0 0 0A1g, 1 0 0 3 0 0 0E1u,  10A1g  0A1g,  11A1u  1E1g,0.0004242640687119285,,,21,23
26,1,27.554793000001155,2.3870345983579053e-36,8.5813e-10,,,4775.177140999999,,, 0 1 0 0 2 0 0A2u, 0 1 0 1 1 0 0E2g,  10A2u  0A1g,  11A2g  2E2g,0.0003605551275463989,,,63,69
26,1,38.3065630000001,5.25998949777524e-33,2.5592e-06,,,4764.425371,,, 0 1 0 0 2 0 0A2u, 0 1 0 0 2 0 0A1g,  10A2u  0A1g,  11A2g  0A2g,0.0003605551275463989,,,63,69
26,1,41.270730000001095,5.226393300081678e-33,2.9068000000000003e-06,,,4775.177140999999,,, 0 1 0 1 1 0 0E2u, 0 1 0 1 1 0 0E2g,  10A2u  2E2g,  11A2g  2E2g,0.0004242640687119285,,,63,69
26,1,41.29524299999957,1.750706457897717e-33,2.9223000000000004e-06,,,4775.127052000001,,, 0 1 0 1 1 0 0E2u, 0 1 0 1 1 0 0E2g,  10A1u  2E2g,  11A1g  2E2g,0.0007071067811865475,,,21,23
26,1,42.76465899999948,1.9958707966541602e-37,3.462e-10,,,4775.127052000001,,, 0 1 0 0 1 1 0A1u, 0 1 0 1 1 0 0E2g,  10A1u  0A1g,  11A1g  2E2g,0.0007810249675906653,,,21,23
26,1,43.36169500000051,1.2687679534094519e-38,2.2123e-11,,,4773.0606,,, 0 1 0 1 1 0 0E2u, 0 1 0 0 1 1 0A2g,  10A1u  2E2g,  11A1g  0A2g,0.00058309518948453,,,21,23
26,1,44.11667699999907,7.112558685505284e-37,2.0972e-08,,,5369.650763000001,,, 1 1 0 0 0 0 0A2u, 0 1 0 0 2 1 0E1g,  11A1u  0A2g,  11A1g  1E1g,0.0008062257748298549,,,23,23
26,1,44.17563500000051,3.055479842478673e-35,1.6893e-08,,,4758.556299,,, 0 1 0 0 2 0 0A2u, 1 0 0 2 0 2 0E2g,  10A2u  0A1g,  11A2g  2E2g,0.0003605551275463989,,,63,69
26,1,44.83111100000042,3.740477101173151e-33,6.7664e-06,,,4773.0606,,, 0 1 0 0 1 1 0A1u, 0 1 0 0 1 1 0A2g,  10A1u  0A1g,  11A1g  0A2g,0.0006708203932499369,,,21,23
26,1,45.40787999999884,1.2484062479951493e-44,9.1709e-06,,,10495.31028,,, 0 3 0 0 0 0 1E1u, 0 3 0 1 0 0 0E1g,  10A2u  1E1g,  11A2g  1E1g,0.0008062257748298549,,,63,69
26,1,45.770672000000104,7.437127384466508e-32,4.129599999999999e-06,,,4051.649572,,, 0 1 0 0 0 0 1E1g, 0 1 0 0 0 0 1E1u,  10A1g  1E1g,  11A1u  1E1g,0.0003605551275463989,,,21,23
26,1,52.022500000000036,2.486239993158954e-35,1.6964e-08,,,4764.425371,,, 0 1 0 1 1 0 0E2u, 0 1 0 0 2 0 0A1g,  10A2u  2E2g,  11A2g  0A2g,0.0004242640687119285,,,63,69
26,1,53.41454999999951,2.724679382222493e-37,5.525599999999999e-10,,,4775.127052000001,,, 0 1 0 0 2 0 0A2u, 0 1 0 1 1 0 0E2g,  11A1u  0A2g,  11A1g  2E2g,0.0007071067811865475,,,23,23
26,1,55.481002000000444,6.512768738969744e-37,1.3647e-09,,,4773.0606,,, 0 1 0 0 2 0 0A2u, 0 1 0 0 1 1 0A2g,  11A1u  0A2g,  11A1g  0A2g,0.00058309518948453,,,23,23
26,1,57.89157200000045,2.041668656042751e-33,1.5273e-06,,,4758.556299,,, 0 1 0 1 1 0 0E2u, 1 0 0 2 0 2 0E2g,  10A2u  2E2g,  11A2g  2E2g,0.0004242640687119285,,,63,69
26,1,61.69680000000017,1.2935273759639722e-33,9.298500000000001e-08,,,4035.7234439999997,,, 0 1 0 0 0 0 1E1g, 1 0 0 3 0 0 0E1u,  10A1g  1E1g,  11A1u  1E1g,0.0004242640687119285,,,21,23
26,1,63.585049000000254,1.0386696154666431e-35,1.5067e-08,,,4891.510533,,, 0 1 0 0 0 0 2A1g, 0 1 0 0 1 0 1E2u,  11A2g  0A2g,  11A2u  2E2g,0.0010295630140987001,,,69,69
26,1,64.48754099999951,1.0688031311945442e-34,5.1025999999999996e-08,,,4659.543664,,, 0 1 0 1 0 1 0A1g, 0 1 0 0 1 0 1E2u,  11A2g  0A2g,  11A2u  2E2g,0.0009055385138137417,,,69,69
26,1,65.02053400000113,3.3995662521691245e-36,3.1480000000000003e-09,,,4775.177140999999,,, 1 0 0 0 4 0 0A2u, 0 1 0 1 1 0 0E2g,  10A2u  0A1g,  11A2g  2E2g,0.00058309518948453,,,63,69
26,1,67.05371600000126,4.212534889200825e-34,3.6902e-07,,,4775.177140999999,,, 0 1 0 1 1 0 0E2u, 0 1 0 1 1 0 0E2g,  11A2u  2E2g,  11A2g  2E2g,0.0004242640687119285,,,69,69
26,1,67.13922399999865,1.4093726474319894e-34,3.7084000000000006e-07,,,4775.127052000001,,, 0 1 0 1 1 0 0E2u, 0 1 0 1 1 0 0E2g,  11A1u  2E2g,  11A1g  2E2g,0.0006403124237432849,,,23,23
26,1,68.52033800000027,1.257646218121763e-38,1.1295999999999999e-11,,,4775.177140999999,,, 0 1 0 0 1 1 0A1u, 0 1 0 1 1 0 0E2g,  11A2u  0A2g,  11A2g  2E2g,0.0006708203932499369,,,69,69
