M of H3O_p__1H3-16O_p__eXeL,I,v,S,A,gm_a,gm_s,E_f,n_a,dt_a,V_i,V_f,Q_i,Q_f,Ierr,Iref,*,g_i,g_f
52,1,10.246790000000004,2.0671747947944097e-21,0.00035533,,,62.366209999999995,,," 0 0 0 0 0 0A2""", 0 0 0 0 0 0A1',"     1 E'  1 E""","     2 E""  1 E""",0.001131370849898476,,,6,10
52,1,12.957579999999979,4.3724386888158434e-21,0.00053419,,,116.80691000000002,,, 0 0 0 0 0 0A1'," 0 0 0 0 0 0A2""","     3 E""  1 E""","     2 E'  1 E""",0.001131370849898476,,,14,10
52,1,13.218230000000005,1.0011964678536099e-20,0.00063906,,,121.6192,,, 0 0 0 0 0 0A1'," 0 0 0 0 0 0A2""",     3A2'  0A2',"     2A2""  0A1'",0.0,,,28,20
52,1,32.84635,3.215709852012318e-20,0.023108,,,22.48105,,," 0 0 0 0 0 0A2""", 0 0 0 0 0 0A1',"     0A2""  0A1'",     1A2'  0A2',0.0,,,4,12
52,1,36.442650000000015,3.3854996887908124e-20,0.013202,,,183.03692,,, 0 0 0 0 0 0A1'," 0 0 0 0 0 0A2""","     4 E""  1 E""","     3 E'  1 E""",0.001131370849898476,,,18,14
52,1,47.77211700000004,1.218354721434155e-21,0.0017463000000000001,,,465.3282,,," 0 0 0 0 0 0A2""", 0 0 0 0 0 0A1',"     6 E'  1 E""","     6 E""  1 E""",0.0012041594578792295,,,26,26
52,1,51.750909999999976,6.6817028123466534e-21,0.004578499999999999,,,219.47957000000002,,," 0 0 0 0 0 0A2""", 0 0 0 0 0 0A1',"     4 E'  1 E""","     4 E""  1 E""",0.001131370849898476,,,18,18
52,1,53.272430000000014,1.4047910921893347e-20,0.008266599999999999,,,129.76449,,," 0 0 0 0 0 0A2""", 0 0 0 0 0 0A1',"     3 E'  1 E""","     3 E""  1 E""",0.001131370849898476,,,14,14
52,1,54.44070000000002,2.885093501919546e-20,0.017552,,,62.366209999999995,,," 0 0 0 0 0 0A2""", 0 0 0 0 0 0A1',"     2 E'  1 E""","     2 E""  1 E""",0.001131370849898476,,,10,10
52,1,55.232659999999996,6.616359291623363e-20,0.054795,,,17.38034,,," 0 0 0 0 0 0A2""", 0 0 0 0 0 0A1',"     1 E'  1 E""","     1 E""  1 E""",0.001131370849898476,,,6,6
52,1,99.13815000000001,5.032153470161697e-19,0.25425,,,22.48105,,," 0 0 0 0 0 0A2""", 0 0 0 0 0 0A1',"     2A2""  0A1'",     1A2'  0A2',0.0,,,20,12
52,1,99.42657000000001,1.941649923471752e-19,0.19208,,,17.38034,,," 0 0 0 0 0 0A2""", 0 0 0 0 0 0A1',"     2 E'  1 E""","     1 E""  1 E""",0.001131370849898476,,,10,6
52,1,120.67071000000001,3.918325776157876e-19,0.43831000000000003,,,62.366209999999995,,," 0 0 0 0 0 0A2""", 0 0 0 0 0 0A1',"     3 E'  1 E""","     2 E""  1 E""",0.001131370849898476,,,14,10
52,1,141.17920999999998,1.0913875742848347e-18,0.82605,,,134.83743,,," 0 0 0 0 0 0A2""", 0 0 0 0 0 0A1',"     4A2""  0A1'",     3A2'  0A2',0.0001,,,36,28
52,1,141.46599,5.254302593829549e-19,0.7780600000000001,,,129.76449,,," 0 0 0 0 0 0A2""", 0 0 0 0 0 0A1',"     4 E'  1 E""","     3 E""  1 E""",0.001131370849898476,,,18,14
52,1,1033.2844,6.812786899655508e-19,13.806,,,134.83743,,," 0 1 0 0 0 0A2""", 0 0 0 0 0 0A1',"     4A2""  0A1'",     3A2'  0A2',0.0009,,,36,28
52,1,3461.2673800000002,7.497890691047703e-19,304.87,,,134.83743,,, 0 0 0 0 2 2 E', 0 0 0 0 0 0A1',"     2A2""  1 E""",     3A2'  0A2',0.0009,,,20,28
52,1,3527.8191999999995,2.514101906229349e-18,758.53,,,134.83743,,, 0 0 0 0 2 2 E', 0 0 0 0 0 0A1',"     3A2""  1 E""",     3A2'  0A2',0.0009,,,28,28
52,1,3573.6237600000004,1.822790341537811e-18,457.59,,,22.48105,,, 0 0 0 0 2 2 E', 0 0 0 0 0 0A1',"     2A2""  1 E""",     1A2'  0A2',0.0009,,,20,12
